VslID,Berth,Cargo Type,Flag/Country Code,Foreign Coastal Indicator,Commodity Code,GRT,NRT,Dead Weight,ATA - Outer Roads,Actual Time of Arriv,Actual Date of Berthing,Actual Time of Berth,Actual Date of Unberthing,Actual Time of Unberthing,ATD - Outer Roads,Actual Time of Depar,PBD (Port),PBD (Non Port),PBD Total,SWB (TOTAL),TRT (TOTAL),NOR Date,NOR time,TRT NOR,PILOT BOARDING DATE,PILOT BOARDING TIME,PILOT UNBOARDING DATE,PILOT UNBOARDING TIME,TRT BOARDING & DEBOARDING,MT,Teus,MnthYear,Idle Hrs
5800405SAG-E,SCB,Liquid Bulk,PANAMA,F,LIQUID AMMONIA,22977,6893,26618,21.04.2025,11:20:00,21.04.2025,13:06:00,22.04.2025,11:24:00,22.04.2025,14:00:00,00:00:00,00:00:00,00:00:00,26:40:00,,,,,21.04.2025,11:30:00,22.04.2025,13:00:00,25:30:00,8000.04,,Apr-25,8.3
6800405NOBRU,Q4,Liquid Bulk,INDIA,C,MOTOR SPIRIT,29242,11926,46921,18.04.2025,18:18:00,20.04.2025,10:48:00,21.04.2025,14:54:00,21.04.2025,17:25:00,38:06:00,00:00:00,38:06:00,71:07:00,,,,,20.04.2025,8:24:00,21.04.2025,16:25:00,32:01:00,6783.961,,Apr-25,7.5
7800405IABMU,V2,Containerised,INDIA,C,CONTAINER,18602,9382,24374,25.04.2025,23:00:00,26.04.2025,00:18:00,27.04.2025,03:42:00,27.04.2025,06:33:00,00:00:00,00:00:00,00:00:00,31:33:00,,,,,25.04.2025,23:18:00,27.04.2025,5:30:00,30:12:00,30018,1824,Apr-25,
19004053-ASL,V3,Containerised,LIBERIA,F,CONTAINER,16799,8672,22994,23.04.2025,17:45:00,23.04.2025,22:56:00,24.04.2025,07:08:00,24.04.2025,09:19:00,04:19:00,00:00:00,04:19:00,15:34:00,,,,,23.04.2025,22:04:00,24.04.2025,8:18:00,10:14:00,3124,322,Apr-25,
2900405YCNEG,BTP,Liquid Bulk,INDIA,C,OIL FURNACE OIL,27969,12193,45770,18.04.2025,21:06:00,21.04.2025,08:30:00,22.04.2025,15:12:00,22.04.2025,17:43:00,57:48:00,00:00:00,57:48:00,92:37:00,,,,,21.04.2025,6:54:00,22.04.2025,16:40:00,33:46:00,9971.546,,Apr-25,12.7
3900405UF-IA,SPM,Liquid Bulk,PANAMA,F,SPM CRUDE OTHERS,62845,34739,104999,16.04.2025,16:00:00,17.04.2025,17:30:00,18.04.2025,22:48:00,19.04.2025,01:40:00,24:00:00,00:00:00,24:00:00,57:40:00,,,,,17.04.2025,16:00:00,19.04.2025,0:40:00,32:40:00,99776.589,,Apr-25,5.1
4900405EROPA,SPM,Liquid Bulk,LIBERIA,F,SPM CRUDE MIDDLE EAST,159911,103892,299999,19.04.2025,07:54:00,20.04.2025,08:00:00,22.04.2025,19:54:00,22.04.2025,22:30:00,22:36:00,00:00:00,22:36:00,86:36:00,,,,,20.04.2025,6:30:00,22.04.2025,21:30:00,63:00:00,266908.969,,Apr-25,9.2
6900405ALEEL,COT,Liquid Bulk,INDIA,C,DIESEL HIGH SPEED,29289,11932,41741,18.04.2025,05:00:00,19.04.2025,23:54:00,21.04.2025,18:06:00,21.04.2025,20:32:00,41:30:00,00:00:00,41:30:00,87:32:00,,,,,19.04.2025,22:30:00,21.04.2025,19:30:00,45:00:00,39979.289,,Apr-25,8.5
8900405RAYYE,V3,Containerised,INDIA,C,CONTAINER,40952,25095,55483,25.04.2025,18:00:00,25.04.2025,19:24:00,26.04.2025,14:42:00,26.04.2025,16:43:00,00:00:00,00:00:00,00:00:00,22:43:00,,,,,25.04.2025,18:15:00,26.04.2025,15:45:00,21:30:00,10581,1837,Apr-25,
9900405EGITS,Q4,Liquid Bulk,INDIA,C,OIL FURNACE OIL,5973,3253,10314,19.04.2025,22:00:00,21.04.2025,17:12:00,24.04.2025,10:00:00,24.04.2025,12:26:00,41:30:00,00:00:00,41:30:00,110:26:00,,,,,21.04.2025,15:30:00,24.04.2025,11:24:00,67:54:00,8484.592,,Apr-25,12.2
2010405SUIRI,LNG,Liquid Bulk,LIBERIA,F,LIQUIFIED NATURAL GAS,115728,34718,87968,23.04.2025,05:10:00,23.04.2025,07:12:00,24.04.2025,08:54:00,24.04.2025,11:20:00,00:00:00,00:00:00,00:00:00,30:10:00,,,,,23.04.2025,5:30:00,24.04.2025,10:20:00,28:50:00,61191,,Apr-25,9.2
6010405HSALA,BTP,Liquid Bulk,INDIA,C,DIESEL HIGH SPEED,29878,12970,47878,21.04.2025,19:24:00,22.04.2025,18:06:00,23.04.2025,14:54:00,23.04.2025,17:00:00,21:18:00,00:00:00,21:18:00,45:36:00,,,,,22.04.2025,16:42:00,23.04.2025,16:00:00,23:18:00,4534.029,,Apr-25,7.4
1110405DNAN-,Q10,Liquid Bulk,SINGAPORE,C,SULPHURIC ACID,12099,6436,15513,23.04.2025,08:00:00,23.04.2025,10:54:00,24.04.2025,12:48:00,24.04.2025,15:04:00,00:00:00,00:00:00,00:00:00,31:04:00,,,,,23.04.2025,9:30:00,24.04.2025,14:00:00,28:30:00,12598.147,,Apr-25,7.3
2110405THCAR,Q7,Break Bulk,NETHERLANDS,F,EXPLOSIVES,8620,4317,12067,25.04.2025,09:45:00,26.04.2025,08:02:00,26.04.2025,17:26:00,26.04.2025,19:37:00,00:00:00,00:00:00,00:00:00,33:52:00,,,,,26.04.2025,6:30:00,26.04.2025,18:36:00,12:06:00,16.8,,Apr-25,9.216
9110405SDIHC,NTB,Liquid Bulk,INDIA,C,OIL FURNACE OIL,8542,4117,13127,23.04.2025,07:06:00,23.04.2025,17:18:00,26.04.2025,15:30:00,26.04.2025,17:31:00,09:00:00,00:00:00,09:00:00,82:25:00,,,,,23.04.2025,16:06:00,26.04.2025,16:30:00,72:24:00,11992.563,,Apr-25,24
32104053-ASL,V2,Containerised,LIBERIA,F,CONTAINER,16799,8672,22994,29.04.2025,16:30:00,29.04.2025,18:30:00,30.04.2025,02:36:00,30.04.2025,04:32:00,00:00:00,00:00:00,00:00:00,12:02:00,,,,,29.04.2025,16:45:00,30.04.2025,3:30:00,10:45:00,6021,412,Apr-25,
5210405TOIRT,Q4,Liquid Bulk,INDIA,C,AVIATION TURBO FUEL,28099,11613,46001,23.04.2025,16:24:00,24.04.2025,11:42:00,26.04.2025,08:54:00,26.04.2025,11:15:00,18:00:00,00:00:00,18:00:00,66:51:00,,,,,24.04.2025,10:24:00,26.04.2025,10:15:00,47:51:00,3514.26,,Apr-25,23.4
4310405XETRO,SPM,Liquid Bulk,COMOROS,F,SPM CRUDE OTHERS,62877,34739,114880,24.04.2025,22:30:00,26.04.2025,11:36:00,27.04.2025,15:24:00,27.04.2025,18:30:00,35:30:00,00:00:00,35:30:00,68:00:00,,,,,26.04.2025,10:00:00,27.04.2025,17:30:00,31:30:00,100048.005,,Apr-25,4.4
5310405HCRIB,MULT,Liquid Bulk,INDIA,F,LPG,47386,17305,58124,25.04.2025,23:30:00,27.04.2025,01:06:00,28.04.2025,22:48:00,29.04.2025,00:50:00,00:00:00,00:00:00,00:00:00,73:20:00,,,,,26.04.2025,23:54:00,28.04.2025,23:50:00,47:56:00,13896.893,,Apr-25,9.9
0410405MAKKA,NCB,Liquid Bulk,INDIA,C,MOTOR SPIRIT,1119,336,809,24.04.2025,10:10:00,24.04.2025,12:06:00,29.04.2025,21:30:00,29.04.2025,23:36:00,00:00:00,00:00:00,00:00:00,133:26:00,,,,,24.04.2025,10:45:00,29.04.2025,22:35:00,131:50:00,565.351,,Apr-25,18.9
4410405M-NEL,Q4,Liquid Bulk,PANAMA,C,DIESEL HIGH SPEED,28245,12822,46843,24.04.2025,17:00:00,26.04.2025,11:54:00,27.04.2025,18:00:00,27.04.2025,20:01:00,41:24:00,00:00:00,41:24:00,75:01:00,,,,,26.04.2025,10:24:00,27.04.2025,19:00:00,32:36:00,6022.028,,Apr-25,7.4
6410405SWOLL,COT,Liquid Bulk,INDIA,C,MOTOR SPIRIT,28098,11645,45887,27.04.2025,21:25:00,27.04.2025,22:36:00,29.04.2025,20:18:00,29.04.2025,22:29:00,00:00:00,00:00:00,00:00:00,49:04:00,,,,,27.04.2025,21:30:00,29.04.2025,21:30:00,48:00:00,29693.178,,Apr-25,8.7
1010405ASSIA,Q4,Liquid Bulk,COOK ISLANDS,F,METHANOL,27526,14021,47343,25.04.2025,22:50:00,28.04.2025,07:30:00,30.04.2025,07:00:00,30.04.2025,09:30:00,55:05:00,00:00:00,55:05:00,106:40:00,,,,,28.04.2025,5:55:00,30.04.2025,8:30:00,50:35:00,8000.057,,Apr-25,3.833
9010405LARGO,V3,Containerised,INDIA,C,CONTAINER,36603,15610,45400,29.04.2025,15:30:00,29.04.2025,17:12:00,30.04.2025,17:48:00,30.04.2025,20:00:00,00:00:00,00:00:00,00:00:00,28:30:00,,,,,29.04.2025,15:48:00,30.04.2025,19:00:00,27:12:00,29375,2099,Apr-25,
0110405315-I,V2,Containerised,SINGAPORE,F,CONTAINER,46854,20469,57830,29.04.2025,22:30:00,30.04.2025,04:54:00,30.04.2025,20:24:00,30.04.2025,23:00:00,05:00:00,00:00:00,05:00:00,24:30:00,,,,,30.04.2025,3:30:00,30.04.2025,22:00:00,18:30:00,14980,1090,Apr-25,
