VslID,Berth,Cargo Type,Flag/Country Code,Foreign Coastal Indicator,Commodity Code,GRT,NRT,Dead Weight,ATA - Outer Roads,Actual Time of Arriv,Actual Date of Berthing,Actual Time of Berth,Actual Date of Unberthing,Actual Time of Unberthing,ATD - Outer Roads,Actual Time of Depar,PBD (Port),PBD (Non Port),PBD Total,SWB (TOTAL),TRT (TOTAL),NOR Date,NOR time,TRT NOR,PILOT BOARDING DATE,PILOT BOARDING TIME,PILOT UNBOARDING DATE,PILOT UNBOARDING TIME,TRT BOARDING & DEBOARDING,MT,Teus,MnthYear,Idle Hrs
2510305REENO,Q10,Liquid Bulk,MARSHALL ISLANDS,C,SULPHURIC ACID,11761,6056,19993,02.04.2025,17:13:00,02.04.2025,19:20:00,03.04.2025,19:54:00,03.04.2025,21:40:00,00:00:00,00:00:00,00:00:00,28:27:00,,,,,02.04.2025,17:48:00,03.04.2025,20:40:00,26:52:00,11716.01,,Apr-25,11.433
3510305ALAAJ,SPM,Liquid Bulk,INDIA,F,SPM CRUDE MIDDLE EAST,161248,110106,299999,30.03.2025,22:24:00,06.04.2025,08:24:00,08.04.2025,00:06:00,08.04.2025,03:02:00,152:06:00,00:00:00,152:06:00,196:38:00,,,,,06.04.2025,6:30:00,08.04.2025,2:00:00,43:30:00,146595.145,,Apr-25,5.9
6510305II-RE,V2,Containerised,LIBERIA,F,CONTAINER,27828,13386,37548,04.04.2025,22:40:00,05.04.2025,00:01:00,05.04.2025,12:54:00,05.04.2025,15:00:00,00:00:00,00:00:00,00:00:00,16:20:00,,,,,04.04.2025,22:45:00,05.04.2025,14:00:00,15:15:00,9210,879,Apr-25,
9510305MUHB-,V3,Containerised,SINGAPORE,F,CONTAINER,28592,14769,39396,13.04.2025,07:55:00,13.04.2025,09:00:00,13.04.2025,21:30:00,14.04.2025,00:00:00,00:00:00,00:00:00,00:00:00,16:05:00,,,,,13.04.2025,8:00:00,13.04.2025,23:00:00,15:00:00,16711,1305,Apr-25,
1610305NOLYB,COT,Liquid Bulk,INDIA,C,MOTOR SPIRIT,27969,12193,45726,30.03.2025,23:00:00,31.03.2025,00:24:00,02.04.2025,09:42:00,02.04.2025,12:00:00,00:00:00,00:00:00,00:00:00,61:00:00,,,,,30.03.2025,23:12:00,02.04.2025,11:00:00,59:48:00,29937.413,,Apr-25,19.7
2610305IHKNA,COT,Liquid Bulk,INDIA,C,MOTOR SPIRIT,27627,12769,46345,02.04.2025,09:04:00,02.04.2025,11:42:00,03.04.2025,16:48:00,03.04.2025,19:24:00,00:00:00,00:00:00,00:00:00,34:20:00,,,,,02.04.2025,10:00:00,03.04.2025,18:20:00,32:20:00,32773.977,,Apr-25,8.8
3610305EERAN,BTP,Dry Bulk Mechanical,SINGAPORE,C,CEMENT,15198,5541,21136,02.04.2025,10:32:00,02.04.2025,12:55:00,03.04.2025,13:00:00,03.04.2025,15:01:00,00:00:00,00:00:00,00:00:00,28:29:00,,,,,02.04.2025,11:05:00,03.04.2025,14:00:00,26:55:00,10919.025,,Apr-25,6.417
4610305ALAHT,NCB,Liquid Bulk,INDIA,C,DIESEL HIGH SPEED,498,149,267,31.03.2025,14:30:00,31.03.2025,15:50:00,01.04.2025,14:35:00,01.04.2025,16:16:00,00:00:00,00:00:00,00:00:00,25:46:00,,,,,31.03.2025,15:00:00,01.04.2025,15:15:00,24:15:00,115.052,,Apr-25,21.75
5610305RAYYE,V3,Containerised,INDIA,C,CONTAINER,40952,25095,55483,08.04.2025,05:55:00,08.04.2025,08:06:00,08.04.2025,23:00:00,09.04.2025,01:30:00,00:00:00,00:00:00,00:00:00,19:35:00,,,,,08.04.2025,6:30:00,09.04.2025,0:30:00,18:00:00,27705,1691,Apr-25,
7610305NEVOH,V2,Containerised,MARSHALL ISLANDS,F,CONTAINER,29623,11801,37266,09.04.2025,13:30:00,09.04.2025,14:48:00,10.04.2025,03:06:00,10.04.2025,05:32:00,00:00:00,00:00:00,00:00:00,16:02:00,,,,,09.04.2025,13:30:00,10.04.2025,4:30:00,15:00:00,18287,1253,Apr-25,
3000405EGITS,Q4,Liquid Bulk,INDIA,C,OIL FURNACE OIL,5973,3253,10314,01.04.2025,11:00:00,03.04.2025,09:42:00,06.04.2025,06:45:00,06.04.2025,08:41:00,45:00:00,00:00:00,45:00:00,117:41:00,,,,,03.04.2025,8:00:00,06.04.2025,7:40:00,71:40:00,8532.314,,Apr-25,16.35
4000405AYNOK,SPM,Liquid Bulk,PANAMA,F,SPM CRUDE OTHERS,84491,53269,163750,16.04.2025,05:55:00,16.04.2025,07:48:00,17.04.2025,14:48:00,17.04.2025,18:04:00,00:00:00,00:00:00,00:00:00,36:09:00,,,,,16.04.2025,6:30:00,17.04.2025,17:00:00,34:30:00,132806.312,,Apr-25,4.1
6000405KOL-G,SPM,Liquid Bulk,INDIA,F,SPM CRUDE MIDDLE EAST,81770,53774,158280,03.04.2025,11:00:00,04.04.2025,07:54:00,04.04.2025,23:42:00,05.04.2025,02:45:00,19:20:00,00:00:00,19:20:00,39:45:00,,,,,04.04.2025,6:20:00,05.04.2025,1:45:00,19:25:00,50009.479,,Apr-25,3.9
8000405SLEVR,Q4,Liquid Bulk,INDIA,C,DIESEL HIGH SPEED,27969,12193,45761,04.04.2025,20:36:00,06.04.2025,09:24:00,07.04.2025,17:24:00,07.04.2025,19:50:00,35:06:00,00:00:00,35:06:00,71:14:00,,,,,06.04.2025,7:42:00,07.04.2025,18:50:00,35:08:00,10938.497,,Apr-25,7.6
